ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64,Sum.f64,SumSQ.f64,Min.f64,Max.f64
router_3,send_bit_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_3,send_packet_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_3,output_port_stalls,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_3,idle_time,port4,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_3,width_adj_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_3,xbar_stalls,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_3,xbar_stalls,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_3,xbar_stalls,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_3,xbar_stalls,port3,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_3,xbar_stalls,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,send_bit_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,send_packet_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,output_port_stalls,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,idle_time,port0,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_4,width_adj_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,send_bit_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,send_packet_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,output_port_stalls,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,idle_time,port1,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_4,width_adj_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,send_bit_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,send_packet_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,output_port_stalls,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,idle_time,port2,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_4,width_adj_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,send_bit_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,send_packet_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,output_port_stalls,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,idle_time,port4,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_4,width_adj_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,xbar_stalls,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,xbar_stalls,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,xbar_stalls,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,xbar_stalls,port3,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_4,xbar_stalls,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,send_bit_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,send_packet_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,output_port_stalls,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,idle_time,port0,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_5,width_adj_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,send_bit_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,send_packet_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,output_port_stalls,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,idle_time,port1,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_5,width_adj_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,send_bit_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,send_packet_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,output_port_stalls,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,idle_time,port2,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_5,width_adj_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,send_bit_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,send_packet_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,output_port_stalls,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,idle_time,port4,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_5,width_adj_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,xbar_stalls,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,xbar_stalls,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,xbar_stalls,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,xbar_stalls,port3,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_5,xbar_stalls,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,send_bit_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,send_packet_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,output_port_stalls,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,idle_time,port0,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_6,width_adj_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,send_bit_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,send_packet_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,output_port_stalls,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,idle_time,port1,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_6,width_adj_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,send_bit_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,send_packet_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,output_port_stalls,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,idle_time,port2,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_6,width_adj_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,send_bit_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,send_packet_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,output_port_stalls,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,idle_time,port4,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_6,width_adj_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,xbar_stalls,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,xbar_stalls,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,xbar_stalls,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,xbar_stalls,port3,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_6,xbar_stalls,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,send_bit_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,send_packet_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,output_port_stalls,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,idle_time,port1,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_7,width_adj_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,send_bit_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,send_packet_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,output_port_stalls,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,idle_time,port2,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_7,width_adj_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,send_bit_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,send_packet_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,output_port_stalls,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,idle_time,port4,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_7,width_adj_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,xbar_stalls,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,xbar_stalls,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,xbar_stalls,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,xbar_stalls,port3,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_7,xbar_stalls,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,send_bit_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,send_packet_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,output_port_stalls,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,idle_time,port0,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_8,width_adj_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,send_bit_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,send_packet_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,output_port_stalls,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,idle_time,port2,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_8,width_adj_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,send_bit_count,port3,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,send_packet_count,port3,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,output_port_stalls,port3,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,idle_time,port3,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_8,width_adj_count,port3,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,send_bit_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,send_packet_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,output_port_stalls,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,idle_time,port4,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_8,width_adj_count,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,xbar_stalls,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,xbar_stalls,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,xbar_stalls,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,xbar_stalls,port3,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_8,xbar_stalls,port4,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_9,send_bit_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_9,send_packet_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_9,output_port_stalls,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_9,idle_time,port0,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_9,width_adj_count,port0,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_9,send_bit_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_9,send_packet_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_9,output_port_stalls,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_9,idle_time,port1,Accumulator,500000000,0,500000000,250000000000000000,1,500000000,500000000,0,0,0,0
router_9,width_adj_count,port1,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_9,send_bit_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_9,send_packet_count,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
router_9,output_port_stalls,port2,Accumulator,500000000,0,0,0,0,0,0,0,0,0,0
