pe_id,entries
58,7
57,9
56,6
55,9
54,11
7,9
6,18
0,14
59,6
13,32
14,21
15,10
16,17
17,24
18,24
19,26
20,28
5,24
63,6
4,32
24,17
62,5
3,30
23,10
61,5
2,27
22,19
60,6
1,22
21,29
28,28
27,29
26,20
25,27
8,17
9,23
10,27
11,28
12,31
29,23
30,22
31,10
32,18
33,24
34,16
35,24
36,22
37,19
38,19
39,11
40,14
41,22
42,15
43,24
44,21
45,19
46,18
47,15
48,12
49,21
50,12
51,13
52,11
53,8
